Fichero;Tiempo;Resultado
GKD-b_1_n25_m2.txt;55.0;0.0
GKD-b_1_n25_m2.txt;55.0;0.0
GKD-b_1_n25_m2.txt;55.0;0.0
GKD-b_1_n25_m2.txt;55.0;0.0
GKD-b_1_n25_m2.txt;54.0;0.0
GKD-b_2_n25_m2.txt;55.0;0.0
GKD-b_2_n25_m2.txt;54.0;0.0
GKD-b_2_n25_m2.txt;55.0;0.0
GKD-b_2_n25_m2.txt;54.0;0.0
GKD-b_2_n25_m2.txt;55.0;0.0
GKD-b_3_n25_m2.txt;54.0;0.0
GKD-b_3_n25_m2.txt;54.0;0.0
GKD-b_3_n25_m2.txt;54.0;0.0
GKD-b_3_n25_m2.txt;55.0;0.0
GKD-b_3_n25_m2.txt;55.0;0.0
GKD-b_4_n25_m2.txt;55.0;0.0
GKD-b_4_n25_m2.txt;55.0;0.0
GKD-b_4_n25_m2.txt;54.0;0.0
GKD-b_4_n25_m2.txt;55.0;0.0
GKD-b_4_n25_m2.txt;55.0;0.0
GKD-b_5_n25_m2.txt;55.0;0.0
GKD-b_5_n25_m2.txt;54.0;0.0
GKD-b_5_n25_m2.txt;54.0;0.0
GKD-b_5_n25_m2.txt;55.0;0.0
GKD-b_5_n25_m2.txt;55.0;0.0
GKD-b_6_n25_m7.txt;39.0;31.2907
GKD-b_6_n25_m7.txt;39.0;27.3521
GKD-b_6_n25_m7.txt;39.0;34.7928
GKD-b_6_n25_m7.txt;38.0;20.044
GKD-b_6_n25_m7.txt;39.0;20.3956
GKD-b_7_n25_m7.txt;39.0;26.2168
GKD-b_7_n25_m7.txt;39.0;25.6926
GKD-b_7_n25_m7.txt;39.0;39.2778
GKD-b_7_n25_m7.txt;39.0;26.8768
GKD-b_7_n25_m7.txt;39.0;24.4993
GKD-b_8_n25_m7.txt;40.0;34.2263
GKD-b_8_n25_m7.txt;40.0;16.7612
GKD-b_8_n25_m7.txt;43.0;28.4545
GKD-b_8_n25_m7.txt;39.0;31.6958
GKD-b_8_n25_m7.txt;40.0;23.7854
GKD-b_9_n25_m7.txt;39.0;37.6499
GKD-b_9_n25_m7.txt;39.0;35.8968
GKD-b_9_n25_m7.txt;39.0;38.6163
GKD-b_9_n25_m7.txt;39.0;32.8645
GKD-b_9_n25_m7.txt;39.0;37.6608
GKD-b_10_n25_m7.txt;39.0;26.7197
GKD-b_10_n25_m7.txt;39.0;30.2731
GKD-b_10_n25_m7.txt;42.0;36.9072
GKD-b_10_n25_m7.txt;42.0;29.5956
GKD-b_10_n25_m7.txt;39.0;33.8372
GKD-b_11_n50_m5.txt;40.0;8.96021
GKD-b_11_n50_m5.txt;40.0;9.11615
GKD-b_11_n50_m5.txt;40.0;19.5499
GKD-b_11_n50_m5.txt;41.0;5.21667
GKD-b_11_n50_m5.txt;41.0;10.0817
GKD-b_12_n50_m5.txt;40.0;13.996
GKD-b_12_n50_m5.txt;41.0;18.7691
GKD-b_12_n50_m5.txt;40.0;17.7669
GKD-b_12_n50_m5.txt;40.0;11.2151
GKD-b_12_n50_m5.txt;40.0;11.2327
GKD-b_13_n50_m5.txt;40.0;18.8557
GKD-b_13_n50_m5.txt;39.0;19.662
GKD-b_13_n50_m5.txt;40.0;17.2411
GKD-b_13_n50_m5.txt;40.0;15.6718
GKD-b_13_n50_m5.txt;40.0;8.93686
GKD-b_14_n50_m5.txt;41.0;20.8098
GKD-b_14_n50_m5.txt;40.0;10.5282
GKD-b_14_n50_m5.txt;41.0;8.41061
GKD-b_14_n50_m5.txt;40.0;13.0533
GKD-b_14_n50_m5.txt;40.0;4.32266
GKD-b_15_n50_m5.txt;41.0;12.977
GKD-b_15_n50_m5.txt;40.0;19.6944
GKD-b_15_n50_m5.txt;40.0;10.0928
GKD-b_15_n50_m5.txt;40.0;19.2183
GKD-b_15_n50_m5.txt;40.0;15.3025
GKD-b_16_n50_m15.txt;71.0;114.049
GKD-b_16_n50_m15.txt;70.0;95.0842
GKD-b_16_n50_m15.txt;70.0;80.4139
GKD-b_16_n50_m15.txt;70.0;111.78
GKD-b_16_n50_m15.txt;70.0;71.5233
GKD-b_17_n50_m15.txt;70.0;107.083
GKD-b_17_n50_m15.txt;70.0;91.9451
GKD-b_17_n50_m15.txt;70.0;81.1668
GKD-b_17_n50_m15.txt;71.0;92.3522
GKD-b_17_n50_m15.txt;70.0;132.191
GKD-b_18_n50_m15.txt;70.0;104.995
GKD-b_18_n50_m15.txt;70.0;65.1747
GKD-b_18_n50_m15.txt;70.0;100.474
GKD-b_18_n50_m15.txt;70.0;77.5247
GKD-b_18_n50_m15.txt;70.0;62.6174
GKD-b_19_n50_m15.txt;70.0;160.141
GKD-b_19_n50_m15.txt;74.0;86.5793
GKD-b_19_n50_m15.txt;71.0;100.459
GKD-b_19_n50_m15.txt;70.0;76.8042
GKD-b_19_n50_m15.txt;70.0;87.5166
GKD-b_20_n50_m15.txt;70.0;71.057
GKD-b_20_n50_m15.txt;69.0;79.9795
GKD-b_20_n50_m15.txt;70.0;107.855
GKD-b_20_n50_m15.txt;70.0;113.39
GKD-b_20_n50_m15.txt;70.0;106.906
GKD-b_21_n100_m10.txt;58.0;45.5941
GKD-b_21_n100_m10.txt;57.0;57.834
GKD-b_21_n100_m10.txt;58.0;41.9625
GKD-b_21_n100_m10.txt;57.0;50.412
GKD-b_21_n100_m10.txt;58.0;77.0391
GKD-b_22_n100_m10.txt;59.0;34.573
GKD-b_22_n100_m10.txt;58.0;54.3916
GKD-b_22_n100_m10.txt;57.0;52.3405
GKD-b_22_n100_m10.txt;57.0;46.5775
GKD-b_22_n100_m10.txt;57.0;48.9764
GKD-b_23_n100_m10.txt;57.0;40.5048
GKD-b_23_n100_m10.txt;57.0;50.7906
GKD-b_23_n100_m10.txt;58.0;51.1517
GKD-b_23_n100_m10.txt;58.0;46.6064
GKD-b_23_n100_m10.txt;58.0;41.6921
GKD-b_24_n100_m10.txt;57.0;47.5128
GKD-b_24_n100_m10.txt;57.0;35.3777
GKD-b_24_n100_m10.txt;58.0;47.2307
GKD-b_24_n100_m10.txt;57.0;41.9792
GKD-b_24_n100_m10.txt;58.0;38.387
GKD-b_25_n100_m10.txt;57.0;45.0571
GKD-b_25_n100_m10.txt;57.0;59.4924
GKD-b_25_n100_m10.txt;58.0;47.2395
GKD-b_25_n100_m10.txt;57.0;38.7428
GKD-b_25_n100_m10.txt;58.0;32.0135
GKD-b_26_n100_m30.txt;218.0;380.426
GKD-b_26_n100_m30.txt;221.0;375.269
GKD-b_26_n100_m30.txt;221.0;401.597
GKD-b_26_n100_m30.txt;221.0;308.558
GKD-b_26_n100_m30.txt;218.0;411.934
GKD-b_27_n100_m30.txt;220.0;428.377
GKD-b_27_n100_m30.txt;220.0;284.008
GKD-b_27_n100_m30.txt;220.0;440.74
GKD-b_27_n100_m30.txt;220.0;419.155
GKD-b_27_n100_m30.txt;221.0;395.862
GKD-b_28_n100_m30.txt;222.0;365.7
GKD-b_28_n100_m30.txt;220.0;413.938
GKD-b_28_n100_m30.txt;222.0;306.306
GKD-b_28_n100_m30.txt;218.0;403.481
GKD-b_28_n100_m30.txt;220.0;472.509
GKD-b_29_n100_m30.txt;225.0;360.04
GKD-b_29_n100_m30.txt;218.0;348.694
GKD-b_29_n100_m30.txt;219.0;383.79
GKD-b_29_n100_m30.txt;220.0;312.946
GKD-b_29_n100_m30.txt;221.0;442.939
GKD-b_30_n100_m30.txt;220.0;390.572
GKD-b_30_n100_m30.txt;221.0;411.939
GKD-b_30_n100_m30.txt;219.0;354.766
GKD-b_30_n100_m30.txt;223.0;282.239
GKD-b_30_n100_m30.txt;219.0;253.805
GKD-b_31_n125_m12.txt;67.0;52.1939
GKD-b_31_n125_m12.txt;68.0;99.9603
GKD-b_31_n125_m12.txt;67.0;89.2642
GKD-b_31_n125_m12.txt;67.0;58.7192
GKD-b_31_n125_m12.txt;72.0;62.9712
GKD-b_32_n125_m12.txt;68.0;65.9648
GKD-b_32_n125_m12.txt;67.0;46.8964
GKD-b_32_n125_m12.txt;68.0;48.8528
GKD-b_32_n125_m12.txt;68.0;53.5466
GKD-b_32_n125_m12.txt;67.0;41.9214
GKD-b_33_n125_m12.txt;67.0;75.412
GKD-b_33_n125_m12.txt;68.0;72.8305
GKD-b_33_n125_m12.txt;68.0;70.136
GKD-b_33_n125_m12.txt;68.0;59.0727
GKD-b_33_n125_m12.txt;67.0;63.9272
GKD-b_34_n125_m12.txt;67.0;68.6863
GKD-b_34_n125_m12.txt;68.0;50.5214
GKD-b_34_n125_m12.txt;66.0;108.07
GKD-b_34_n125_m12.txt;67.0;62.4357
GKD-b_34_n125_m12.txt;68.0;50.861
GKD-b_35_n125_m12.txt;68.0;63.6831
GKD-b_35_n125_m12.txt;68.0;66.0974
GKD-b_35_n125_m12.txt;68.0;38.0814
GKD-b_35_n125_m12.txt;68.0;46.2794
GKD-b_35_n125_m12.txt;68.0;43.0886
GKD-b_36_n125_m37.txt;333.0;466.126
GKD-b_36_n125_m37.txt;328.0;440.307
GKD-b_36_n125_m37.txt;333.0;501.663
GKD-b_36_n125_m37.txt;333.0;343.089
GKD-b_36_n125_m37.txt;331.0;405.186
GKD-b_37_n125_m37.txt;332.0;588.668
GKD-b_37_n125_m37.txt;331.0;493.5
GKD-b_37_n125_m37.txt;332.0;398.178
GKD-b_37_n125_m37.txt;335.0;666.051
GKD-b_37_n125_m37.txt;329.0;616.197
GKD-b_38_n125_m37.txt;330.0;628.302
GKD-b_38_n125_m37.txt;331.0;456.924
GKD-b_38_n125_m37.txt;333.0;598.425
GKD-b_38_n125_m37.txt;328.0;518.038
GKD-b_38_n125_m37.txt;333.0;468.708
GKD-b_39_n125_m37.txt;334.0;438.331
GKD-b_39_n125_m37.txt;329.0;523.708
GKD-b_39_n125_m37.txt;332.0;439.251
GKD-b_39_n125_m37.txt;329.0;427.725
GKD-b_39_n125_m37.txt;332.0;458.204
GKD-b_40_n125_m37.txt;330.0;371.561
GKD-b_40_n125_m37.txt;332.0;430.832
GKD-b_40_n125_m37.txt;332.0;411.348
GKD-b_40_n125_m37.txt;332.0;434.109
GKD-b_40_n125_m37.txt;335.0;357.504
GKD-b_41_n150_m15.txt;83.0;51.2859
GKD-b_41_n150_m15.txt;83.0;66.2161
GKD-b_41_n150_m15.txt;83.0;89.8398
GKD-b_41_n150_m15.txt;84.0;74.3721
GKD-b_41_n150_m15.txt;84.0;79.9177
GKD-b_42_n150_m15.txt;83.0;119.564
GKD-b_42_n150_m15.txt;84.0;110.284
GKD-b_42_n150_m15.txt;83.0;73.3905
GKD-b_42_n150_m15.txt;83.0;93.7006
GKD-b_42_n150_m15.txt;84.0;74.9426
GKD-b_43_n150_m15.txt;84.0;73.6206
GKD-b_43_n150_m15.txt;83.0;70.3519
GKD-b_43_n150_m15.txt;84.0;87.4282
GKD-b_43_n150_m15.txt;84.0;90.806
GKD-b_43_n150_m15.txt;83.0;79.4781
GKD-b_44_n150_m15.txt;83.0;71.9695
GKD-b_44_n150_m15.txt;82.0;80.9958
GKD-b_44_n150_m15.txt;83.0;69.7329
GKD-b_44_n150_m15.txt;83.0;86.4227
GKD-b_44_n150_m15.txt;83.0;48.9431
GKD-b_45_n150_m15.txt;84.0;66.6967
GKD-b_45_n150_m15.txt;83.0;60.568
GKD-b_45_n150_m15.txt;85.0;89.4564
GKD-b_45_n150_m15.txt;83.0;89.0946
GKD-b_45_n150_m15.txt;84.0;67.4165
GKD-b_46_n150_m45.txt;530.0;676.222
GKD-b_46_n150_m45.txt;529.0;563.293
GKD-b_46_n150_m45.txt;532.0;720.031
GKD-b_46_n150_m45.txt;531.0;591.134
GKD-b_46_n150_m45.txt;527.0;838.594
GKD-b_47_n150_m45.txt;528.0;630.787
GKD-b_47_n150_m45.txt;531.0;591.477
GKD-b_47_n150_m45.txt;524.0;563.959
GKD-b_47_n150_m45.txt;535.0;426.92
GKD-b_47_n150_m45.txt;531.0;637.785
GKD-b_48_n150_m45.txt;530.0;503.841
GKD-b_48_n150_m45.txt;536.0;529.333
GKD-b_48_n150_m45.txt;531.0;441.7
GKD-b_48_n150_m45.txt;529.0;481.359
GKD-b_48_n150_m45.txt;530.0;587.959
GKD-b_49_n150_m45.txt;527.0;584.792
GKD-b_49_n150_m45.txt;530.0;587.091
GKD-b_49_n150_m45.txt;537.0;606.92
GKD-b_49_n150_m45.txt;530.0;598.523
GKD-b_49_n150_m45.txt;531.0;631.837
GKD-b_50_n150_m45.txt;533.0;676.093
GKD-b_50_n150_m45.txt;529.0;676.348
GKD-b_50_n150_m45.txt;536.0;587.451
GKD-b_50_n150_m45.txt;539.0;680.335
GKD-b_50_n150_m45.txt;530.0;614.086
